Server_AI_ID,Guild_ID,Server_Name,Local_1,Local_2,Local_3,Global_1,Global_2,Global_3,OwnerID,setup
1,1303110245567954944,Latter Day Network,1303117956456251492,1372063378129813504,1372068500482424843,1303117956456251492,1372063378129813504,1372068500482424843,864975494847660052,True
2,1338610443899502674,Server Testing,1338610443899502674,NULL,NULL,1338610443899502674,NULL,NULL,864975494847660052,1
3,1204631490860949574,BYU Idaho (Unofficial),1204631490898432017,NULL,NULL,1204631490915336210,NULL,NULL,864975494847660052,1
4,911115188487467048,Zions Youth | Church of Jesus Christ of Latter-day Saints,911462013627158538,NULL,NULL,911119677613309952,NULL,NULL,864975494847660052,1
5,1222208936665682023,The Book of Mormon,1236872195972665405,NULL,NULL,1222243790270763098,1222241224648429568,1236868107239166064,1037083161257062500,1
6,1284974993742233632,The YSA's Lounge,1294525299265900547,NULL,NULL,1284987967907037234,NULL,NULL,874075987544006756,1
7,1329961719845617736,The Latter-Day Lounge,1329967127486140546,NULL,NULL,1329961864964083732,NULL,NULL,920367772825960459,1
8,695425251550429206,The Church of Jesus Christ of Latter-day Saints Community,695441253394808932,NULL,NULL,695441253394808932,NULL,NULL,374727440481910799,1
